,0
0,-0.5445559965887378
1,-0.15772562845340568
2,1.5955426074058452
3,-0.4500676584699686
4,-0.613266403517467
5,-0.06487435036548876
6,-1.1876669596948166
7,2.4175773147290176
8,-0.85707306219679
9,-1.074410074180079
10,-1.3076565428012281
11,0.05458491751966089
12,-0.8141867008251671
13,-0.9727740091660393
14,0.24531393970571722
15,-0.9402633803843252
16,1.330338882407777
17,-0.11626881246083687
18,1.4498903790270592
19,0.29998252186276986
20,0.47632386152415274
21,0.7711099529952274
22,-0.4489378564768452
23,3.111344910057384
24,-0.3679840850920236
25,0.31224894350239535
26,-0.34564167424842007
27,-0.22539846212314402
28,-0.08585638738063761
29,-0.9181976557431192
30,0.6329051948976426
31,-0.663761635455023
32,-0.6704021043125646
33,0.7385993242135133
34,-0.6087933099120396
